statement_id,speaker_id,evasion_projection,mahalanobis,chi2_percentile,p_chi2,dominant_feature,raw__hedging,raw__specificity_avoidance,raw__pronoun_distancing,raw__topic_deflection,raw__confidence_language,raw__surprisal_z,resid__hedging,resid__specificity_avoidance,resid__pronoun_distancing,resid__topic_deflection,resid__confidence_language,resid__surprisal_z,z__hedging,z__specificity_avoidance,z__pronoun_distancing,z__topic_deflection,z__confidence_language,z__surprisal_z,attribution__hedging,attribution__specificity_avoidance,attribution__pronoun_distancing,attribution__topic_deflection,attribution__confidence_language,attribution__surprisal_z
brightmoor-c2,T_Lindqvist,1.5934,4.6203,99.841,0.00158896,surprisal_z,1.0,0.6255,0.7,1.0,0.0,4.1518,0.8329,0.4869,0.6781,0.9479,-0.192,2.8498,1.837,0.91,1.422,0.602,-1.158,4.003,0.0536,0.0012,0.0364,0.0051,0.1531,0.7507
tessaly-c2,C_Mbeki,1.5659,3.7744,97.3,0.0270015,confidence_language,0.8152,0.6377,0.5,1.0,0.0,3.6274,0.66,0.5033,0.4799,0.9523,-0.1835,2.3929,1.195,1.415,0.674,0.856,-1.018,2.183,0.0399,0.0991,0.0457,0.0037,0.4771,0.3346
corveth-c0,S_Ambrose,1.5077,3.8981,98.121,0.0187911,surprisal_z,0.25,1.0,0.375,1.0,1.0,2.3931,0.1742,0.9503,0.3645,0.9746,0.9249,1.8611,-0.848,1.905,-0.377,0.867,0.873,2.815,0.079,0.3672,0.0005,0.011,0.021,0.5213
braemar-c1,E_Thorsen,1.4505,2.7309,71.943,0.28057,surprisal_z,0.4425,0.705,0.6,1.0,0.885,2.9357,0.4022,0.6579,0.5953,0.9892,0.8262,2.5606,0.689,1.789,0.379,0.884,1.005,1.952,0.0023,0.3125,0.1006,0.0198,0.0538,0.511
calderon-c2,A_Whitfield,1.213,5.6572,99.998,1.62872e-05,confidence_language,0.6579,0.5614,0.625,1.0,1.0,4.2717,0.5999,0.4841,0.6187,0.9857,0.9068,3.6897,1.749,2.12,1.135,1.831,0.786,3.737,0.0064,0.0252,0.0157,0.0356,0.4807,0.4364
nortrail-c0,R_Vasquez,1.197,2.5746,64.344,0.356558,specificity_avoidance,1.0,1.0,0.2,1.0,0.0,0.8808,0.9351,0.9584,0.191,0.9781,-0.0634,0.4296,1.099,1.991,-0.412,0.634,-1.325,0.063,0.1007,0.5451,0.0288,0.0401,0.2848,0.0006
riverton-c1,J_Kovač,0.8945,3.4789,94.029,0.0597135,surprisal_z,0.813,0.187,0.5,1.0,1.0,3.7378,0.8111,0.1626,0.5007,1.0024,0.977,3.6212,1.304,-0.158,0.083,1.097,2.111,2.464,0.3374,0.0349,0.0021,0.0103,0.1136,0.5017
riverton-c2,J_Kovač,0.788,1.485,10.012,0.89988,specificity_avoidance,0.2577,0.6564,0.75,0.5155,0.5155,1.5686,0.1297,0.5408,0.7336,0.4768,0.3598,0.529,-0.495,0.853,0.852,0.056,0.332,0.098,0.2558,0.3614,0.3316,0.0002,0.0467,0.0044
occitan-c2,N_Farouk,0.7495,1.4021,7.719,0.922809,specificity_avoidance,0.4587,0.8471,0.4,1.0,1.0,1.1589,0.3829,0.7616,0.391,0.9793,0.8923,0.4671,-0.215,1.118,0.327,0.421,0.501,0.448,0.0928,0.5609,0.033,0.0815,0.1297,0.1022
vantree-c0,D_Okonjo,0.7057,2.6253,66.908,0.330925,topic_deflection,0.7812,0.0,0.5,1.0,0.0,2.2345,0.6853,-0.0631,0.4867,0.9679,-0.0952,1.5605,1.117,-0.505,0.167,1.405,-0.872,1.378,0.1204,0.1459,0.0125,0.3534,0.0924,0.2754
pallas-c1,P_Adeyemi,0.3391,2.6828,69.703,0.302967,surprisal_z,0.2427,0.3528,0.0,1.0,1.0,2.394,0.1614,0.2826,-0.0105,0.975,0.9041,1.7482,-0.301,0.756,-0.741,0.556,1.072,1.741,0.1063,0.0481,0.0684,0.0351,0.3211,0.421
ardent-c0,L_Bergström,0.2593,3.9267,98.276,0.0172373,surprisal_z,0.4167,0.0278,0.0,1.0,1.0,3.368,0.4234,0.0264,0.0012,1.003,1.0014,3.3892,0.537,-0.365,-0.899,0.956,0.981,2.72,0.0789,0.0172,0.0135,0.1219,0.2885,0.4799
nordvik-c0,V_Ivanova,0.2215,9.2308,100.0,2.98892e-16,surprisal_z,0.7874,1.0,0.375,1.0,0.3937,4.2514,0.8214,1.0162,0.38,1.0122,0.4218,4.4626,1.986,3.142,-0.133,1.235,0.955,7.672,0.0,0.0299,0.0026,0.2547,0.022,0.6908
riverton-c0,J_Kovač,0.1155,2.9441,80.685,0.193152,surprisal_z,0.5952,0.2063,0.5714,0.0,1.0,3.5903,0.441,0.1109,0.5498,-0.0524,0.8524,2.5338,0.327,-0.297,0.245,-0.992,1.752,1.632,0.223,0.0237,0.0019,0.2867,0.1573,0.3073
calderon-c0,A_Whitfield,0.0467,13.306,100.0,1.43662e-35,confidence_language,1.0,1.0,0.6667,1.0,0.5882,8.1553,0.8513,0.9081,0.6459,0.9495,0.4459,7.1369,2.849,4.291,1.259,1.728,-0.166,7.365,0.0251,0.0159,0.0043,0.0017,0.6466,0.3064
sable-c0,H_Castellanos,-0.1731,5.2246,99.987,0.00012744,surprisal_z,0.2101,0.2997,0.6364,1.0,0.4202,4.1545,0.2145,0.2984,0.6372,1.002,0.4208,4.1668,-0.236,0.532,0.964,0.718,0.006,4.258,0.0909,0.0007,0.0311,0.0337,0.1794,0.6642
tessaly-c0,C_Mbeki,-0.2262,2.0307,34.007,0.659935,confidence_language,0.0,0.0,0.3,1.0,0.0,0.8321,0.0797,0.0415,0.3115,1.0281,0.0691,1.343,-0.446,-0.097,0.174,1.022,-0.401,1.162,0.1715,0.0102,0.0049,0.1241,0.3615,0.3277
occitan-c1,N_Farouk,-0.2393,2.8999,79.038,0.209624,surprisal_z,0.2016,0.328,0.4444,1.0,1.0,2.2909,0.2053,0.3086,0.4459,1.0041,0.9838,2.2198,-0.672,-0.065,0.491,0.498,0.768,2.202,0.3259,0.0032,0.0007,0.0199,0.0735,0.5768
halden-c0,M_Ferreira,-0.2821,3.9843,98.556,0.0144413,topic_deflection,0.7812,0.4792,0.3846,0.3906,1.0,2.132,0.8174,0.4955,0.3899,0.4037,1.0291,2.3529,1.332,0.895,-0.354,-0.6,1.681,2.504,0.0006,0.0042,0.001,0.4066,0.1927,0.3949
occitan-c0,N_Farouk,-0.3597,3.6588,96.271,0.0372922,surprisal_z,0.5906,0.2126,0.1111,1.0,1.0,3.0431,0.6211,0.2236,0.1157,1.0114,1.022,3.217,0.397,-0.287,-0.493,0.521,0.879,3.2,0.0591,0.0084,0.0946,0.0115,0.0613,0.7652
calderon-c1,A_Whitfield,-0.3787,3.2064,88.67,0.113298,surprisal_z,0.3125,0.375,0.2857,1.0,1.0,3.3358,0.1142,0.2336,0.2587,0.9351,0.7932,1.8938,-0.376,0.837,-0.505,1.687,0.551,1.847,0.2018,0.0019,0.0217,0.1759,0.2668,0.3318
tessaly-c1,C_Mbeki,-0.4411,1.7363,19.299,0.807012,confidence_language,0.0,0.0,0.1429,1.0,0.0,0.5673,0.052,0.0088,0.1512,1.0207,0.0285,0.8194,-0.524,-0.203,-0.301,1.006,-0.5,0.653,0.1831,0.0211,0.0653,0.2487,0.3402,0.1416
pallas-c0,P_Adeyemi,-0.4573,2.3966,54.749,0.45251,surprisal_z,0.2,0.0,0.0,1.0,0.0,1.7035,0.224,0.0078,0.0037,1.0091,0.0165,1.8364,-0.098,-0.255,-0.69,0.641,-1.375,1.841,0.016,0.0384,0.1003,0.0908,0.1644,0.59
brightmoor-c1,T_Lindqvist,-0.5589,4.4197,99.665,0.00335077,surprisal_z,0.2137,0.0,0.375,1.0,0.0,2.9428,0.1904,-0.036,0.3727,0.9949,-0.0419,2.6868,-0.182,-0.62,0.39,0.722,-0.776,3.767,0.0431,0.123,0.0003,0.0093,0.0981,0.7263
brightmoor-c0,T_Lindqvist,-0.5686,10.1699,100.0,4.83288e-20,surprisal_z,0.7576,0.3266,0.3571,0.0,0.0,7.0886,0.6794,0.2775,0.3462,-0.0264,-0.0755,6.5496,1.355,0.298,0.301,-1.868,-0.862,9.37,0.0027,0.0081,0.0107,0.0759,0.0539,0.8488
halden-c1,M_Ferreira,-0.7713,2.6,65.638,0.343619,surprisal_z,0.75,0.0,0.2857,1.0,1.0,2.3599,0.6543,-0.0796,0.2732,0.9702,0.8898,1.6131,0.887,-0.866,-0.721,0.646,1.344,1.636,0.0016,0.2658,0.0376,0.0137,0.2853,0.396
pallas-c2,P_Adeyemi,-1.013,2.3814,53.897,0.461025,confidence_language,0.0,0.0,0.125,1.0,0.0,1.7602,-0.0748,-0.0839,0.1162,0.9795,-0.1058,1.0801,-1.069,-0.592,-0.288,0.567,-1.712,0.981,0.2229,0.093,0.0264,0.0778,0.41,0.1698
ardent-c2,L_Bergström,-1.1712,2.0511,35.133,0.648673,confidence_language,0.0,0.0,0.0,0.9615,1.0,2.266,-0.0972,-0.0982,-0.012,0.9335,0.8723,1.43,-1.26,-0.848,-0.946,0.811,0.702,0.87,0.2315,0.1781,0.1258,0.0021,0.2828,0.1798
halden-c2,M_Ferreira,-1.3617,2.585,64.879,0.351212,topic_deflection,0.5,0.0,0.375,0.5,0.0,2.2227,0.3866,-0.1063,0.3607,0.4662,-0.1414,1.2845,0.156,-0.948,-0.446,-0.463,-1.15,1.251,0.0001,0.1242,0.0205,0.4346,0.1865,0.2341
tessaly-c3,C_Mbeki,-1.7214,3.1241,86.488,0.135122,surprisal_z,0.3247,0.0,0.25,0.6494,1.0,5.067,-0.0078,-0.3273,0.2087,0.5524,0.5711,2.2466,-0.693,-1.304,-0.131,-0.021,0.824,2.041,0.2419,0.2596,0.0096,0.051,0.0111,0.4268
braemar-c0,E_Thorsen,-2.0366,4.168,99.199,0.00800735,topic_deflection,0.0,0.0,0.2857,0.0,0.0,3.4059,-0.1077,-0.0676,0.2707,-0.0364,-0.1039,2.664,-0.818,-0.444,-0.491,-1.076,-0.897,2.038,0.1284,0.0176,0.0022,0.5118,0.101,0.2391
nordvik-c1,V_Ivanova,-2.1449,5.0029,99.966,0.000337272,surprisal_z,0.0,0.1987,0.25,1.0,0.0,2.8588,-0.0795,0.1271,0.2398,0.9759,-0.0965,2.2142,-1.554,-0.146,-0.715,1.15,-1.575,3.302,0.2168,0.0168,0.0134,0.0334,0.2841,0.4356
